"search-number","evaluation","evals-requested-so-far","number-people*","infectiousness*","duration*","chance-recover*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","160","150","25","59","11","""864916975""","2.0689655172413794","82.08333333333333","34.478380194349185","21.55398948515006","49.328859060402685"
"1","2","160","150","25","59","11","""-1815128532""","6.535947712418301","76.66666666666667","38.57324900514502","17.1672437295888","21.21212121212121"
"1","3","160","150","25","59","11","""1077027536""","6.666666666666667","83.3976833976834","36.35751629934237","21.73623996729323","35.08771929824561"
"1","4","160","150","25","59","11","""1462636188""","5.294117647058823","82.0754716981132","34.62232128813918","24.902936098914882","23.577235772357724"
"1","5","160","150","25","59","11","""-74306891""","4.8","80.51282051282051","35.562757093000705","23.949806950083065","34.27230046948357"
"1","6","160","150","25","59","11","""-1928917438""","4.794520547945205","79.34782608695652","33.513914211790315","23.719042888855927","37.86764705882353"
"1","7","160","150","25","59","11","""-1632189130""","6.153846153846154","80.35087719298247","35.11443581729034","22.918977376357994","36.48068669527897"
"1","8","160","150","25","59","11","""1637490642""","6.535947712418301","75.34246575342466","39.38562587634308","16.14397483745464","38.392857142857146"
"1","9","160","150","25","59","11","""1628274863""","1.935483870967742","82.421875","31.67753890588522","27.31800922378312","10.471204188481675"
"1","10","160","150","25","59","11","""-514390232""","6.451612903225806","75.9090909090909","38.335948024089795","16.20063120349609","35.97122302158273"
"1","11","160","150","71","53","73","""-2019102230""","6.666666666666667","86.87782805429865","50.036912110711825","16.005415101154824","53.333333333333336"
"1","12","160","150","71","53","73","""1874572736""","6.666666666666667","84.87084870848709","49.61593055655676","18.132200204678018","55.333333333333336"
"1","13","160","150","71","53","73","""-194667504""","6.666666666666667","88.33333333333333","50.324932325548524","16.11775416967484","59.06040268456376"
"1","14","160","150","71","53","73","""418983135""","6.666666666666667","86.3849765258216","50.375779407003535","15.96141335689287","55.852842809364546"
"1","15","160","150","71","53","73","""-1170893205""","6.578947368421052","87.86407766990291","50.3568213075963","14.642490012192498","53.51170568561873"
"1","16","160","150","71","53","73","""-711348713""","6.535947712418301","88.77005347593582","50.19377799352792","16.909968960909858","55.666666666666664"
"1","17","160","150","71","53","73","""-826750431""","6.666666666666667","89.76109215017065","50.42575447214816","17.63475212702809","51.85185185185185"
"1","18","160","150","71","53","73","""-31706239""","6.622516556291391","82.77511961722487","50.333001614971444","15.0162927656444","47"
"1","19","160","150","71","53","73","""2077808630""","6.666666666666667","88.83248730964468","50.81995394317662","16.421896614106117","55.852842809364546"
"1","20","160","150","71","53","73","""-1818522351""","6.666666666666667","91.7948717948718","49.8524887210772","20.064354796182556","51.67785234899329"
"1","21","160","150","68","89","71","""1306049660""","6.666666666666667","100","62.840532683154244","21.97354949818934","68.33333333333333"
"1","22","160","150","68","89","71","""-837584770""","6.666666666666667","99.08256880733946","64.1044094635921","22.911876386310567","72"
"1","23","160","150","68","89","71","""-595550593""","6.578947368421052","98.54368932038835","64.21245898177891","18.09948507535042","65.88628762541806"
"1","24","160","150","68","89","71","""1773167584""","6.666666666666667","99.52830188679245","63.487096473019314","22.039193853955062","67.24137931034483"
"1","25","160","150","68","89","71","""1920626028""","6.578947368421052","98.5781990521327","63.1389112055023","20.116455354829085","70.80536912751678"
"1","26","160","150","68","89","71","""703735417""","6.666666666666667","99.4949494949495","62.99900014984341","21.811078311569805","74.31506849315068"
"1","27","160","150","68","89","71","""-1934048797""","6.666666666666667","99.51923076923077","63.451039683583325","22.856515741775027","73.15436241610739"
"1","28","160","150","68","89","71","""-1417403564""","6.578947368421052","99.56709956709958","64.29613527285717","18.39673213272895","68.68686868686868"
"1","29","160","150","68","89","71","""1300867518""","6.622516556291391","100","63.326994243038875","21.421883573245115","77.05479452054794"
"1","30","160","150","68","89","71","""-1703196343""","6.578947368421052","98.47715736040608","63.27156862634192","23.65862062820338","72"
"1","31","160","150","26","12","25","""-573278001""","0","8.227848101265822","0.10476531463711232","0.8456357014037266","0"
"1","32","160","150","26","12","25","""-1719191396""","0","8.75","0.1311787369700649","0.8725603901270982","0"
"1","33","160","150","26","12","25","""1016956230""","0","7.142857142857142","0.09675975974070038","0.7496470952609501","0"
"1","34","160","150","26","12","25","""1619378002""","0","6.918238993710692","0.11241370818280037","0.7632375810498095","0"
"1","35","160","150","26","12","25","""1598272942""","0","7.878787878787878","0.10542900338710312","0.8560287185086124","0"
"1","36","160","150","26","12","25","""2046755371""","0","9.146341463414634","0.1425454363673504","0.9659100640661772","0"
"1","37","160","150","26","12","25","""-1736243579""","0","8.80503144654088","0.13939914622618477","0.9018115662218874","0"
"1","38","160","150","26","12","25","""560343330""","0","7.738095238095238","0.10448538936714029","0.8054077506154625","0"
"1","39","160","150","26","12","25","""-759998122""","0","9.036144578313253","0.12754214105399395","0.9038425341599495","0"
"1","40","160","150","26","12","25","""1938006990""","0","8.433734939759036","0.1454250543953108","0.8944588695386899","0"
"1","41","160","150","91","46","28","""-1633483446""","6.578947368421052","94.38775510204081","40.21329787572138","19.776308575036403","46.42857142857143"
"1","42","160","150","91","46","28","""-1411481781""","2.2222222222222223","93.33333333333333","35.78737056851578","26.96423537843075","66.95652173913044"
"1","43","160","150","91","46","28","""2089847302""","4.587155963302752","91.23711340206185","39.556924643631916","18.17872122687202","32.94117647058823"
"1","44","160","150","91","46","28","""-2075483682""","6.666666666666667","89.74358974358975","39.00676354468695","19.788307559141824","17.77777777777778"
"1","45","160","150","91","46","28","""1811498625""","4.444444444444445","93.96984924623115","39.76482856305431","23.830357106312064","12.676056338028168"
